Ticket,Open,Type,Volume,Symbol,Price,SL,TP,Close,Price,Swap,Commissions,Profit,Pips,"Trade duration in seconds"
107400345,"2025-12-31 22:59:50",sell,0.01,BTCUSD,87665.73000000,0,0,"2026-01-01 13:59:50",87980.50000000,-0.73,-0.57,-3.15000000,-314.8,54000
107282388,"2025-12-31 14:59:50",buy,0.01,BTCUSD,88737.29000000,0,0,"2025-12-31 17:59:50",87888.47000000,0,-0.58,-8.49000000,-848.8,10800
106870401,"2025-12-30 04:59:49",sell,0.01,BTCUSD,87071.63000000,0,0,"2025-12-30 18:59:52",88729.42000000,0,-0.57,-16.58000000,-1657.8,50403
106870403,"2025-12-30 04:59:53",sell,0.01,ETHUSD,2926.61000000,0,0,"2025-12-30 15:59:55",2986.31000000,0,-0.2,-5.97000000,-59.7,39602
106828050,"2025-12-29 20:59:52",sell,0.01,BTCUSD,87407.89000000,0,0,"2025-12-30 14:59:50",87992.75000000,-0.73,-0.57,-5.85000000,-584.9,64798
106820853,"2025-12-29 19:59:54",sell,0.01,ETHUSD,2941.22000000,0,0,"2025-12-30 10:59:53",2977.00000000,-0.24,-0.2,-3.58000000,-35.8,53999
106511210,"2025-12-28 20:59:59",buy,0.01,BNBUSD,859.56000000,0,0,"2025-12-29 17:00:01",851.58000000,0,-0.56,-7.98000000,-8,72002
106576832,"2025-12-29 06:59:53",buy,0.01,ETHUSD,3038.99000000,0,0,"2025-12-29 15:59:57",2925.84000000,0,-0.2,-11.32000000,-113.2,32404
106576829,"2025-12-29 06:59:49",buy,0.01,BTCUSD,90113.84000000,0,0,"2025-12-29 13:59:51",87539.10000000,0,-0.57,-25.75000000,-2574.7,25202
106498457,"2025-12-27 07:59:52",sell,0.01,ETHUSD,2929.29000000,0,0,"2025-12-29 03:59:53",2980.11000000,0,-0.2,-5.08000000,-50.8,158401
106496600,"2025-12-27 00:59:50",sell,0.01,BTCUSD,87499.44000000,0,0,"2025-12-29 02:59:49",88278.38000000,0,-0.57,-7.79000000,-778.9,179999
106459818,"2025-12-26 19:00:01",sell,0.01,BNBUSD,828.73000000,0,0,"2025-12-28 10:59:56",846.05000000,-2.09,-0.54,-17.32000000,-17.3,143995
106441750,"2025-12-26 17:59:56",sell,0.01,ETHUSD,2920.05000000,0,0,"2025-12-28 04:59:54",2946.20000000,-0.73,-0.19,-2.62000000,-26.2,125998
106238342,"2025-12-25 13:59:56",sell,0.01,BNBUSD,837.73000000,0,0,"2025-12-27 12:59:55",842.08000000,-2.79,-0.54,-4.35000000,-4.4,169199
106276884,"2025-12-26 03:59:53",sell,0.01,ETHUSD,2916.67000000,0,0,"2025-12-26 12:59:53",2970.89000000,0,-0.19,-5.42000000,-54.2,32400
106048211,"2025-12-24 06:59:56",sell,0.01,BNBUSD,839.63000000,0,0,"2025-12-26 08:59:56",844.18000000,-1.41,-0.54,-4.55000000,-4.6,180000
106238778,"2025-12-25 14:59:52",sell,0.01,ETHUSD,2926.31000000,0,0,"2025-12-26 04:59:53",2972.20000000,-0.25,-0.2,-4.59000000,-45.9,50401
106263247,"2025-12-26 02:59:50",sell,0.01,BTCUSD,87073.80000000,0,0,"2025-12-26 04:59:49",89124.41000000,0,-0.57,-20.51000000,-2050.6,7199
106086790,"2025-12-24 10:59:51",sell,0.01,BTCUSD,86729.40000000,0,0,"2025-12-25 18:59:50",88038.19000000,-0.73,-0.57,-13.09000000,-1308.8,115199
106125250,"2025-12-24 14:59:58",sell,0.01,ETHUSD,2934.71000000,0,0,"2025-12-25 17:59:53",2958.31000000,-0.25,-0.2,-2.36000000,-23.6,97195
105735438,"2025-12-23 12:59:56",sell,0.01,BNBUSD,851.59000000,0,0,"2025-12-24 22:59:58",849.11000000,-0.7,-0.56,2.48000000,2.5,122402
105735433,"2025-12-23 12:59:53",sell,0.01,ETHUSD,2965.37000000,0,0,"2025-12-24 21:59:54",2944.81000000,-0.25,-0.2,2.06000000,20.6,118801
